id,institutionCode,Barcode,Catalog Number,basisOfRecord,informationWithheld,recordNumber,recordedBy,associatedMedia,eventDate,"
  continent",country,countryCode,stateProvince,county,Locality,decimalLatitude ,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,Category,Collector,Type status,Elevation,Habitat,Habit,Soil Type,Associated Species,Detrminavit,More Information
,,STC00087,624,PreservedSpecimen,"Much branched, decument, pernnial herbs with a woody base. Stems and branches usually spreading from near the root. Leaves alternate.",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayannur,10.753022,76.38126,WGS128,3000,Heliotrepium rottleri Lehm,Plantae,,,,Boraginaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00105,824,PreservedSpecimen,"Annual erect herb. Stem obtusely 4-angled, leaves linear. Flowers subsessile white in terminal bracteate spike.",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayannur,10.753022,76.38126,WGS129,3000,Striga angustifolia (D.Don) C J.Saldanna,Plantae,,,,Scrophulariaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00113,526,PreservedSpecimen,"Erect, slender herb to 25cm stem quardengular, branches, leaves 1-6cm long, flower white axillary solitary, 3-4cm long cylindric",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayannur,10.753022,76.38126,WGS130,3000,Rhamphicarpa longiflora ( Benth,Plantae,,,,Scrophulariaceae,,,,,Angiosperms,Lavanya C P,No,,,,,,,
,,STC00137,621,PreservedSpecimen,"Profusely dichotomous branched erect ephemeral herbs. Stem acutely 4-angled. Leaves linear-lanceolate, sparsely scabrid, sessile stipules with 2-3 bristles.",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayannur,10.753022,76.38126,WGS131,3000,Oldenlandia dineshii Sojan & V. Suresh,Plantae,,,,Rubiaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00054,524,PreservedSpecimen,"Stem obtusely, 4 angled, upper leaves smaller, white in terminal axis",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayanoor,10.753022,76.38126,WGS132,3000,Striga angustifolia (D. Don) Saldanha,Plantae,,,,Scrophulariaceae,,,,,Angiosperms,Lavanya C P,No,,,,,,,
,,STC00078,323,PreservedSpecimen,Annual herb with hairless stem leaves Narrow linear.,,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayanoor,10.753022,76.38126,WGS133,3000,Rhyncospora wightiana,Plantae,,,,Cyperaceae,,,,,Angiosperms,Haritha,No,,,,,,,
,,STC00024,431,PreservedSpecimen,,,,,2019-5-10,Asia,India,IN,Kerala,Thrissur,Munnar,10.087076,77.062208,WGS134,3000,Drymaria cordata (L.) Wild ex Roem & schult,Plantae,,,,Caryophyllaceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
,,STC00033,534,PreservedSpecimen,"Rhizomatous herb, leaf short leaves short petiolate , amny flowered",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS135,3000,Globa sessiliflora Sims,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Lavanya C P,No,,,,,,,
,,STC00060,233,PreservedSpecimen,"Leaves in whorls of 3-4, linear, lanceolate, elliptic lanceolate, flowers terminal panickkes, calyx 5, partite red corolla.",,,,2020-1-25,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS136,3000,Cleodendrum indicum (L.) Oktze,Plantae,,,,Verbenaceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00070,250,PreservedSpecimen,The laeves are cute at the apex.The leaves also contain leaf sheath.The inflorescence is yellow in colour.,,,,2020-1-28,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS137,3000,Globa sessiliflora Sims,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Biniya Antony P,no,,,,,,,
